timestamp,datetime,best_bid,best_ask,bid_volume,ask_volume
1755820205,2025-08-21 19:50:05,0.2908,0.2909,0.00,0.00
1755820206,2025-08-21 19:50:06,0.2908,0.2909,0.00,0.00
1755820208,2025-08-21 19:50:08,0.2908,0.2909,0.00,0.00
1755820209,2025-08-21 19:50:09,0.2908,0.2909,0.00,0.00
1755820209,2025-08-21 19:50:09,0.2908,0.2909,0.00,0.00
1755820211,2025-08-21 19:50:11,0.2908,0.2909,0.00,0.00
1755820212,2025-08-21 19:50:12,0.2908,0.2909,0.00,0.00
1755820213,2025-08-21 19:50:13,0.2908,0.2909,0.00,0.00
1755820215,2025-08-21 19:50:15,0.2908,0.2909,0.00,0.00
1755820216,2025-08-21 19:50:16,0.2908,0.2909,0.00,0.00
1755820216,2025-08-21 19:50:16,0.2908,0.2909,0.00,0.00
1755820218,2025-08-21 19:50:18,0.2908,0.2909,0.00,0.00
1755820219,2025-08-21 19:50:19,0.2908,0.2909,0.00,0.00
1755820220,2025-08-21 19:50:20,0.2908,0.2909,0.00,0.00
1755820222,2025-08-21 19:50:22,0.2908,0.2909,0.00,0.00
1755820223,2025-08-21 19:50:23,0.2908,0.2909,0.00,0.00
1755820223,2025-08-21 19:50:23,0.2908,0.2909,0.00,0.00
1755820225,2025-08-21 19:50:25,0.2908,0.2909,0.00,0.00
1755820226,2025-08-21 19:50:26,0.2908,0.2909,0.00,0.00
1755820227,2025-08-21 19:50:27,0.2908,0.2909,0.00,0.00
1755820229,2025-08-21 19:50:29,0.2908,0.2909,0.00,0.00
1755820229,2025-08-21 19:50:29,0.2908,0.2909,0.00,0.00
1755820230,2025-08-21 19:50:30,0.2908,0.2909,0.00,0.00
1755820232,2025-08-21 19:50:32,0.2908,0.2909,0.00,0.00
1755820233,2025-08-21 19:50:33,0.2908,0.2909,0.00,0.00
1755820234,2025-08-21 19:50:34,0.2908,0.2909,0.00,0.00
1755820236,2025-08-21 19:50:36,0.2908,0.2909,0.00,0.00
1755820237,2025-08-21 19:50:37,0.2908,0.2909,0.00,0.00
1755820238,2025-08-21 19:50:38,0.2908,0.2909,0.00,0.00
1755820240,2025-08-21 19:50:40,0.2908,0.2909,0.00,0.00
1755820240,2025-08-21 19:50:40,0.2908,0.2909,0.00,0.00
1755820241,2025-08-21 19:50:41,0.2908,0.2909,0.00,0.00
1755820243,2025-08-21 19:50:43,0.2908,0.2909,0.00,0.00
1755820244,2025-08-21 19:50:44,0.2908,0.2909,0.00,0.00
1755820245,2025-08-21 19:50:45,0.2908,0.2909,0.00,0.00
1755820246,2025-08-21 19:50:46,0.2908,0.2909,0.00,0.00
1755820247,2025-08-21 19:50:47,0.2908,0.2909,0.00,0.00
1755820248,2025-08-21 19:50:48,0.2908,0.2909,0.00,0.00
1755820250,2025-08-21 19:50:50,0.2908,0.2909,0.00,0.00
1755820251,2025-08-21 19:50:51,0.2908,0.2909,0.00,0.00
1755820252,2025-08-21 19:50:52,0.2908,0.2909,0.00,0.00
1755820254,2025-08-21 19:50:54,0.2908,0.2909,0.00,0.00
1755820255,2025-08-21 19:50:55,0.2908,0.2909,0.00,0.00
1755820256,2025-08-21 19:50:56,0.2908,0.2909,0.00,0.00
1755820258,2025-08-21 19:50:58,0.2908,0.2909,0.00,0.00
1755820258,2025-08-21 19:50:58,0.2908,0.2909,0.00,0.00
1755822612,2025-08-21 20:30:12,0.2928,0.2929,0.00,0.00
1755822619,2025-08-21 20:30:19,0.2930,0.2931,0.00,0.00
1755822624,2025-08-21 20:30:24,0.2928,0.2930,0.00,0.00
1755822626,2025-08-21 20:30:26,0.2928,0.2930,0.00,0.00
1755822632,2025-08-21 20:30:32,0.2929,0.2930,0.00,0.00
1755822633,2025-08-21 20:30:33,0.2930,0.2931,0.00,0.00
1755822639,2025-08-21 20:30:39,0.2929,0.2930,0.00,0.00
1755822641,2025-08-21 20:30:41,0.2928,0.2929,0.00,0.00
1755822647,2025-08-21 20:30:47,0.2928,0.2929,0.00,0.00
1755822648,2025-08-21 20:30:48,0.2928,0.2929,0.00,0.00
1755822654,2025-08-21 20:30:54,0.2928,0.2929,0.00,0.00
1755822656,2025-08-21 20:30:56,0.2929,0.2930,0.00,0.00
1755822662,2025-08-21 20:31:02,0.2929,0.2930,0.00,0.00
1755822663,2025-08-21 20:31:03,0.2929,0.2930,0.00,0.00
1755822669,2025-08-21 20:31:09,0.2930,0.2931,0.00,0.00
1755822670,2025-08-21 20:31:10,0.2930,0.2931,0.00,0.00
1755822676,2025-08-21 20:31:16,0.2930,0.2931,0.00,0.00
1755822678,2025-08-21 20:31:18,0.2930,0.2931,0.00,0.00
1755822684,2025-08-21 20:31:24,0.2929,0.2930,0.00,0.00
1755822685,2025-08-21 20:31:25,0.2929,0.2930,0.00,0.00
1755822691,2025-08-21 20:31:31,0.2929,0.2930,0.00,0.00
1755822692,2025-08-21 20:31:32,0.2929,0.2930,0.00,0.00
1755822699,2025-08-21 20:31:39,0.2930,0.2931,0.00,0.00
1755822700,2025-08-21 20:31:40,0.2930,0.2931,0.00,0.00
1755822706,2025-08-21 20:31:46,0.2930,0.2931,0.00,0.00
